county,month,wind_speed
Knox,2,13.7
Knox,3,10.5
Knox,4,11.4
Knox,5,9.9
Knox,6,6.1
Knox,7,5.3
Knox,8,4.5
Knox,9,6.9
Knox,10,8.8
Knox,11,6.3
Knox,12,9.7
Kosciusko,1,10.4
Kosciusko,2,10.5
Kosciusko,3,10.5
Kosciusko,4,8.5
Kosciusko,5,8.1
Kosciusko,6,8.1
Kosciusko,7,9.9
Kosciusko,8,8.7
Kosciusko,9,9.4
Kosciusko,10,8.2
Kosciusko,11,9.6
Kosciusko,12,11.9
La Porte,1,10.9
La Porte,2,11.1
La Porte,3,11.4
La Porte,4,10.5
La Porte,5,9
La Porte,6,9.7
La Porte,7,7.2
La Porte,8,6
La Porte,9,7.2
La Porte,10,8.5
La Porte,11,10.9
La Porte,12,9.2
LaGrange,1,10.1
LaGrange,2,10.5
LaGrange,3,10.5
LaGrange,4,11.5
LaGrange,5,9.7
LaGrange,6,8.1
LaGrange,7,4.3
LaGrange,8,6.2
LaGrange,9,7.3
LaGrange,10,8
LaGrange,11,8.9
LaGrange,12,10.5
Lake,1,9.2
Lake,2,11.8
Lake,3,9.9
Lake,4,11.2
Lake,5,6.9
Lake,6,8.6
Lake,7,6.2
Lake,8,8
Lake,9,5.5
Lake,10,7
Lake,11,9.9
Lake,12,10.4
Lawrence,1,12.5
Lawrence,2,9.9
Lawrence,3,12.5
Lawrence,4,7.9
Lawrence,5,8.3
Lawrence,6,12.4
Lawrence,7,9
Lawrence,8,5.4
Lawrence,9,5.8
Lawrence,10,6.1
Lawrence,11,11.8
Lawrence,12,7.3
Madison,1,11.3
Madison,2,10.5
Madison,3,9.1
Madison,4,9.1
Madison,5,11.9
Madison,6,9.5
Madison,7,6
Madison,8,6.8
Madison,9,8.1
Madison,10,8.3
Madison,11,10.7
Madison,12,10.1
Marion,1,9.9
Marion,2,10.8
Marion,3,13.2
Marion,4,9.4
Marion,5,10
Marion,6,5.6
Marion,7,7.4
Marion,8,8.1
Marion,9,4.8
Marion,10,4.8
Marion,11,9.4
Marion,12,10.8
Marshall,1,10
Marshall,2,11
Marshall,3,10.5
Marshall,4,11.4
Marshall,5,9
Marshall,6,6.6
Marshall,7,6.8
