county,month,wind_speed,,,,,
Harrison,2018-07,3.9,,,,,
Harrison,2018-08,10.5,,,,,
Harrison,2018-09,7.1,,,,,
Harrison,2018-10,5.7,,,,,
Harrison,2018-11,6.7,,,,,
Harrison,2018-12,11.0,,,,,
Hendricks,2018-01,10.7,,,,,
Hendricks,2018-02,13.2,,,,,
Hendricks,2018-03,10.0,,,,,
Hendricks,2018-04,12.1,,,,,
Hendricks,2018-05,7.4,,,,,
Hendricks,2018-06,5.6,,,,,
Hendricks,2018-07,6.8,,,,,
Hendricks,2018-08,6.8,,,,,
Hendricks,2018-09,6.1,,,,,
Hendricks,2018-10,10.2,,,,,
Hendricks,2018-11,9.2,,,,,
Hendricks,2018-12,11.2,,,,,
Henry,2018-01,13.0,,,,,
Henry,2018-02,14.7,,,,,
Henry,2018-03,12.3,,,,,
Henry,2018-04,10.1,,,,,
Henry,2018-05,9.4,,,,,
Henry,2018-06,6.3,,,,,
Henry,2018-07,7.3,,,,,
Henry,2018-08,6.2,,,,,
Henry,2018-09,5.6,,,,,
Henry,2018-10,4.9,,,,,
Henry,2018-11,6.7,,,,,
Henry,2018-12,9.8,,,,,
Howard,2018-01,13.6,,,,,
Howard,2018-02,9.2,,,,,
Howard,2018-03,9.0,,,,,
Howard,2018-04,9.7,,,,,
Howard,2018-05,11.5,,,,,
Howard,2018-06,7.9,,,,,
Howard,2018-07,10.3,,,,,
Howard,2018-08,5.8,,,,,
Howard,2018-09,6.4,,,,,
Howard,2018-10,6.9,,,,,
Howard,2018-11,7.6,,,,,
Howard,2018-12,8.4,,,,,
Huntington,2018-01,11.5,,,,,
Huntington,2018-02,9.3,,,,,
Huntington,2018-03,10.1,,,,,
Huntington,2018-04,11.4,,,,,
Huntington,2018-05,9.1,,,,,
Huntington,2018-06,10.2,,,,,
Huntington,2018-07,6.3,,,,,
Huntington,2018-08,6.5,,,,,
Huntington,2018-09,6.8,,,,,
Huntington,2018-10,9.7,,,,,
Huntington,2018-11,9.3,,,,,
Huntington,2018-12,10.5,,,,,
Jackson,2018-01,12.2,,,,,
Jackson,2018-02,11.4,,,,,
Jackson,2018-03,12.4,,,,,
Jackson,2018-04,9.4,,,,,
Jackson,2018-05,7.7,,,,,
Jackson,2018-06,7.5,,,,,
Jackson,2018-07,6.9,,,,,
Jackson,2018-08,5.5,,,,,
Jackson,2018-09,7.0,,,,,
Jackson,2018-10,8.0,,,,,
Jackson,2018-11,11.9,,,,,
Jackson,2018-12,12.0,,,,,
Jasper,2018-01,12.6,,,,,
Jasper,2018-02,11.5,,,,,
Jasper,2018-03,9.4,,,,,
Jasper,2018-04,7.9,,,,,
Jasper,2018-05,7.0,,,,,
Jasper,2018-06,10.6,,,,,
Jasper,2018-07,7.5,,,,,
Jasper,2018-08,4.7,,,,,
Jasper,2018-09,7.2,,,,,
Jasper,2018-10,5.7,,,,,
Jasper,2018-11,9.6,,,,,
Jasper,2018-12,12.4,,,,,
Jay,2018-01,11.6,,,,,
Jay,2018-02,10.0,,,,,
Jay,2018-03,8.2,,,,,
Jay,2018-04,11.8,,,,,
Jay,2018-05,10.6,,,,,
Jay,2018-06,9.5,,,,,
Jay,2018-07,6.7,,,,,
Jay,2018-08,3.6,,,,,
Jay,2018-09,6.4,,,,,
Jay,2018-10,8.8,,,,,
Jay,2018-11,9.9,,,,,
Jay,2018-12,10.3,,,,,
Jefferson,2018-01,12.3,,,,,
Jefferson,2018-02,12.3,,,,,
Jefferson,2018-03,11.2,,,,,
Jefferson,2018-04,11.1,,,,,
Jefferson,2018-05,10.2,,,,,
Jefferson,2018-06,7.6,,,,,
Jefferson,2018-07,9.7,,,,,
Jefferson,2018-08,4.9,,,,,
Jefferson,2018-09,8.5,,,,,
Jefferson,2018-10,9.1,,,,,
Jefferson,2018-11,8.4,,,,,
Jefferson,2018-12,10.5,,,,,
Jennings,2018-01,8.7,,,,,
Jennings,2018-02,11.9,,,,,
Jennings,2018-03,11.4,,,,,
Jennings,2018-04,10.3,,,,,
Jennings,2018-05,8.2,,,,,
Jennings,2018-06,8.2,,,,,
Jennings,2018-07,7.8,,,,,
Jennings,2018-08,6.8,,,,,
Jennings,2018-09,7.3,,,,,
Jennings,2018-10,9.1,,,,,
Jennings,2018-11,11.4,,,,,
Jennings,2018-12,10.8,,,,,
Johnson,2018-01,11.4,,,,,
Johnson,2018-02,10.1,,,,,
Johnson,2018-03,8.9,,,,,
Johnson,2018-04,9.6,,,,,
Johnson,2018-05,8.1,,,,,
Johnson,2018-06,5.6,,,,,
